area_ratio,color_mean_overall,solidity,circularity,extent,aspect_ratio,eccentricity,num_convexity_defects,max_defect_depth_norm,dist_from_center_norm,grad_mean,idx
0.0441047512755102,0.7819229364395142,0.9722964763061969,0.8199713605292634,0.7401035886052534,1.0392156862745099,0.4218988233027521,22,0.0041432037960149265,0.24456677803553717,0.3181321620941162,15
0.014588647959183673,0.7165685296058655,0.9624796084828712,0.8525486601673803,0.7015457788347206,1.0,0.20245963887659688,13,0.002959431282867805,0.21998221936737491,0.8121935129165649,16
0.03633211096938776,0.7366014122962952,0.965452847805789,0.8056427000022667,0.7230769230769231,1.4102564102564104,0.6997196003226106,17,0.008052119282136153,0.38222692338637826,0.39061227440834045,17
0.018395248724489797,0.07269904017448425,0.9852760736196319,0.8966680433908649,0.7618595825426945,1.096774193548387,0.5082300071552365,11,0.001997616115935768,0.2329255278783731,0.3799714148044586,18
0.018973214285714284,0.12667931616306305,0.9591968911917098,0.7531511995186647,0.6427951388888888,1.125,0.8032748768945238,15,0.0039459083771570735,0.17447510673560146,0.36632731556892395,19
0.034099968112244895,0.7883187532424927,0.9815364325750082,0.8337597650867324,0.6891203703703703,1.0666666666666667,0.7602081554918136,17,0.0035019936847269025,0.27804915654843754,0.29500627517700195,20
0.029177295918367346,0.7354349493980408,0.9448765640852215,0.7211428636538694,0.6192375886524822,1.0212765957446808,0.7383402147420508,20,0.01148012718479136,0.3692792526551188,0.7479846477508545,21
0.03075175382653061,0.7889453768730164,0.9838028169014085,0.8866498921525652,0.7407211028632026,1.1219512195121952,0.5651660245010017,20,0.0024785236994017868,0.3917143235029688,0.35039591789245605,22
0.025350765306122448,0.08857119083404541,0.961587167581258,0.8026323728647385,0.7123202001250781,1.0512820512820513,0.33773109955164293,20,0.0038225987403709147,0.3450759928507568,0.35709619522094727,23
0.04077646683673469,0.7747074961662292,0.9757545769421079,0.8407581676574282,0.7435897435897436,1.0196078431372548,0.3680294166383623,21,0.0041432037960149265,0.3000761298980333,0.3025275468826294,24
0.03103077168367347,0.10752859711647034,0.9809885931558935,0.7959515670789761,0.6928034371643395,1.2894736842105263,0.8111627967599631,17,0.003711620067263372,0.457192191036395,0.44424358010292053,25
0.04488201530612245,0.8170866370201111,0.9056847545219638,0.5983042227176826,0.6474753694581281,1.0357142857142858,0.69501228801725,21,0.03619137839673753,0.4067129941799715,0.3491693437099457,26
0.01819595025510204,0.772487223148346,0.9072847682119205,0.6228620656082561,0.6037660256410257,1.21875,0.7531382144524271,14,0.016609808075095555,0.3340306634199744,0.6724720001220703,27
0.033522002551020405,0.5323348641395569,0.9501312335958005,0.7466820410969045,0.6126692456479691,1.0681818181818181,0.7596195198948534,16,0.01219532307815108,0.4053396584684833,0.8993669152259827,28
